************************************************************************************************************
Task  0
************************************************************************************************************
0.1
| Epoch  49, time= 15.3s | Train: skip eval | Valid: time=  1.6s loss=0.908, TAw acc= 84.4% |
| Epoch  50, time= 15.5s | Train: skip eval | Valid: time=  1.5s loss=1.123, TAw acc= 81.7% |
| Epoch  51, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.020, TAw acc= 83.2% |
| Epoch  52, time= 15.5s | Train: skip eval | Valid: time=  1.6s loss=1.282, TAw acc= 82.7% |
| Epoch  53, time= 15.6s | Train: skip eval | Valid: time=  1.4s loss=1.060, TAw acc= 82.5% |
| Epoch  54, time= 15.2s | Train: skip eval | Valid: time=  1.6s loss=0.879, TAw acc= 84.1% |
| Epoch  55, time= 15.2s | Train: skip eval | Valid: time=  1.6s loss=1.084, TAw acc= 82.1% |
| Epoch  56, time= 15.6s | Train: skip eval | Valid: time=  1.5s loss=1.092, TAw acc= 83.0% |
| Epoch  57, time= 15.4s | Train: skip eval | Valid: time=  1.4s loss=1.352, TAw acc= 80.9% |
| Epoch  58, time= 15.3s | Train: skip eval | Valid: time=  1.7s loss=1.253, TAw acc= 84.0% |
| Epoch  59, time= 15.5s | Train: skip eval | Valid: time=  1.7s loss=0.939, TAw acc= 84.4% |
| Epoch  60, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.436, TAw acc= 80.1% |
| Epoch  61, time= 15.6s | Train: skip eval | Valid: time=  1.5s loss=1.256, TAw acc= 82.6% |
| Epoch  62, time= 15.5s | Train: skip eval | Valid: time=  1.5s loss=0.944, TAw acc= 83.7% |
| Epoch  63, time= 15.3s | Train: skip eval | Valid: time=  1.6s loss=1.163, TAw acc= 80.9% |
| Epoch  64, time= 15.3s | Train: skip eval | Valid: time=  1.6s loss=1.016, TAw acc= 81.6% |
| Epoch  65, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.207, TAw acc= 82.1% |
| Epoch  66, time= 15.1s | Train: skip eval | Valid: time=  1.5s loss=1.309, TAw acc= 80.7% |
| Epoch  67, time= 15.5s | Train: skip eval | Valid: time=  1.4s loss=0.960, TAw acc= 83.0% |
| Epoch  68, time= 15.2s | Train: skip eval | Valid: time=  1.5s loss=1.076, TAw acc= 84.5% |
| Epoch  69, time= 15.3s | Train: skip eval | Valid: time=  1.4s loss=1.321, TAw acc= 81.0% |
| Epoch  70, time= 15.2s | Train: skip eval | Valid: time=  1.5s loss=1.105, TAw acc= 81.7% |
| Epoch  71, time= 15.5s | Train: skip eval | Valid: time=  1.5s loss=1.032, TAw acc= 84.7% |
| Epoch  72, time= 15.3s | Train: skip eval | Valid: time=  1.5s loss=1.042, TAw acc= 83.4% |
| Epoch  73, time= 15.4s | Train: skip eval | Valid: time=  1.5s loss=1.170, TAw acc= 83.0% |
| Epoch  74, time= 15.3s | Train: skip eval | Valid: time=  1.6s loss=1.052, TAw acc= 82.2% |
| Epoch  75, time= 15.4s | Train: skip eval | Valid: time=  1.7s loss=1.557, TAw acc= 81.5% |
| Epoch  76, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.231, TAw acc= 82.2% |
| Epoch  77, time= 15.3s | Train: skip eval | Valid: time=  1.6s loss=1.001, TAw acc= 79.2% |
| Epoch  78, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.179, TAw acc= 83.5% |
| Epoch  79, time= 15.6s | Train: skip eval | Valid: time=  1.7s loss=1.119, TAw acc= 82.2% |
| Epoch  80, time= 15.1s | Train: skip eval | Valid: time=  1.6s loss=1.185, TAw acc= 84.2% |
| Epoch  81, time= 15.5s | Train: skip eval | Valid: time=  1.6s loss=0.912, TAw acc= 86.6% |
| Epoch  82, time= 15.4s | Train: skip eval | Valid: time=  1.5s loss=0.908, TAw acc= 87.1% |
| Epoch  83, time= 15.4s | Train: skip eval | Valid: time=  1.4s loss=0.986, TAw acc= 87.3% |
| Epoch  84, time= 15.7s | Train: skip eval | Valid: time=  1.5s loss=0.970, TAw acc= 86.3% |
| Epoch  85, time= 15.5s | Train: skip eval | Valid: time=  1.4s loss=0.998, TAw acc= 86.4% |
| Epoch  86, time= 15.3s | Train: skip eval | Valid: time=  1.4s loss=0.973, TAw acc= 85.7% |
| Epoch  87, time= 15.5s | Train: skip eval | Valid: time=  1.5s loss=0.975, TAw acc= 86.5% |
| Epoch  88, time= 15.4s | Train: skip eval | Valid: time=  1.5s loss=1.035, TAw acc= 86.3% |
